invoice;salesDate;qty;discounted;Customer_ID;Product_ID;SALES
12275;05/01/07;53;0;15; 1;8745.0
12329;08/01/10;107;0;38; 1;17655.0
12330;30/05/09;102;0;28; 1;16830.0
12366;15/03/10;137;0;40; 1;22605.0
12382;28/06/05;166;0;33; 1;27390.0
12438;01/12/08;186;0;1; 1;30690.0
12491;22/08/08;167;0;38; 1;27555.0
12540;30/03/07;182;0;17; 1;30030.0
12568;09/04/10;35;0;12; 1;5775.0
12707;10/03/09;83;0;35; 1;13695.0
12818;04/10/07;67;0;37; 1;11055.0
12977;06/10/06;131;0;12; 1;21615.0
13007;14/11/05;108;0;12; 1;17820.0
13054;09/01/10;104;0;20; 1;17160.0
13294;15/07/05;121;0;24; 1;19965.0
13417;17/02/10;192;0;26; 1;31680.0
13478;06/04/06;35;0;29; 1;5775.0
13486;03/03/05;176;0;25; 1;29040.0
13662;19/12/08;72;0;9; 1;11880.0
13668;10/06/07;65;0;13; 1;10725.0
13711;08/03/07;192;0;25; 1;31680.0
13817;10/11/08;41;0;29; 1;6765.0
13931;27/06/07;86;0;34; 1;14190.0
13964;15/11/06;184;0;6; 1;30360.0
13981;25/02/05;159;0;20; 1;26235.0
14024;30/04/09;21;0;38; 1;3465.0
14117;22/04/09;164;0;12; 1;27060.0
14164;01/11/08;20;0;19; 1;3300.0
14197;31/03/09;141;0;24; 1;23265.0
14262;13/05/06;63;0;2; 1;10395.0
14276;15/01/05;40;0;16; 1;6600.0
14283;14/05/06;73;0;19; 1;12045.0
14345;20/10/08;116;0;6; 1;19140.0
14685;21/02/09;148;0;30; 1;24420.0
14697;04/01/05;107;0;17; 1;17655.0
14782;19/09/05;131;0;22; 1;21615.0
14816;17/10/05;55;0;23; 1;9075.0
14864;27/07/06;54;0;30; 1;8910.0
14946;12/10/10;113;0;19; 1;18645.0
14949;14/04/09;44;0;3; 1;7260.0
14968;07/03/06;82;0;26; 1;13530.0
15014;12/07/06;37;0;20; 1;6105.0
15047;16/11/08;178;0;28; 1;29370.0
15144;28/09/08;18;0;17; 1;2970.0
15179;13/09/07;71;0;19; 1;11715.0
15235;21/05/07;77;0;15; 1;12705.0
15370;22/01/07;198;0;36; 1;32670.0
15437;02/12/09;72;0;31; 1;11880.0
15561;21/10/08;89;0;35; 1;14685.0
15614;18/10/08;106;0;2; 1;17490.0
15749;26/02/09;20;0;18; 1;3300.0
15755;22/05/06;100;0;26; 1;16500.0
15820;25/03/09;44;0;39; 1;7260.0
15839;12/03/10;62;0;5; 1;10230.0
15875;28/09/06;99;0;28; 1;16335.0
16033;18/07/09;78;0;17; 1;12870.0
16043;27/01/10;136;0;9; 1;22440.0
16054;16/02/10;198;0;13; 1;32670.0
16160;07/07/10;82;0;34; 1;13530.0
16201;08/03/07;72;0;6; 1;11880.0
16253;28/02/06;127;0;10; 1;20955.0
16260;16/12/09;58;0;32; 1;9570.0
16269;05/02/09;189;0;11; 1;31185.0
16270;02/03/10;173;0;28; 1;28545.0
16336;29/05/06;80;0;38; 1;13200.0
16546;30/09/05;139;0;28; 1;22935.0
16564;02/11/06;168;0;8; 1;27720.0
16589;26/09/05;44;0;3; 1;7260.0
16600;20/06/05;10;0;14; 1;1650.0
16623;15/02/10;55;0;4; 1;9075.0
16887;20/09/08;43;0;13; 1;7095.0
16906;12/09/06;122;0;18; 1;20130.0
16938;28/05/10;72;0;13; 1;11880.0
16940;06/05/07;195;0;24; 1;32175.0
16985;04/08/08;145;0;23; 1;23925.0
17010;15/11/09;126;0;1; 1;20790.0
17137;11/11/05;103;0;33; 1;16995.0
17151;20/04/06;194;0;35; 1;32010.0
17264;08/07/08;189;0;21; 1;31185.0
17283;10/10/08;34;0;40; 1;5610.0
17293;01/11/08;146;0;40; 1;24090.0
17454;14/02/07;147;0;4; 1;24255.0
17468;21/04/06;69;0;14; 1;11385.0
17473;27/01/08;127;0;27; 1;20955.0
17528;04/03/07;58;0;1; 1;9570.0
17610;02/08/09;38;0;27; 1;6270.0
17794;13/02/10;190;0;28; 1;31350.0
17820;26/09/07;48;0;30; 1;7920.0
17878;26/05/07;34;0;1; 1;5610.0
17977;02/06/06;181;0;11; 1;29865.0
18014;11/03/05;82;0;17; 1;13530.0
18036;16/01/09;91;0;33; 1;15015.0
18124;08/01/10;107;0;3; 1;17655.0
18297;14/06/08;192;0;7; 1;31680.0
18300;31/05/09;102;0;36; 1;16830.0
18342;06/03/09;137;0;37; 1;22605.0
18380;16/07/09;59;0;19; 1;9735.0
18669;13/10/07;90;0;28; 1;14850.0
18779;18/03/10;86;0;5; 1;14190.0
19039;27/10/07;88;0;23; 1;14520.0
19106;17/07/05;43;0;5; 1;7095.0
19125;07/06/07;191;0;9; 1;31515.0
19159;08/02/07;87;0;10; 1;14355.0
19190;25/02/07;101;0;23; 1;16665.0
19263;29/03/09;48;0;30; 1;7920.0
19315;17/08/08;135;0;37; 1;22275.0
19350;12/02/07;26;0;25; 1;4290.0
19471;25/06/05;115;0;14; 1;18975.0
19482;30/09/08;193;0;12; 1;31845.0
19498;03/06/07;110;0;17; 1;18150.0
19578;25/01/10;108;0;14; 1;17820.0
19597;09/08/06;97;0;21; 1;16005.0
19819;05/05/05;51;0;13; 1;8415.0
19858;27/03/10;128;0;32; 1;21120.0
19947;13/02/06;24;0;19; 1;3960.0
19960;12/03/06;75;0;26; 1;12375.0
19982;02/05/10;35;0;40; 1;5775.0
20050;09/06/09;121;0;25; 1;19965.0
20107;26/03/07;57;0;13; 1;9405.0
20116;02/08/07;121;0;22; 1;19965.0
20205;25/03/09;25;0;40; 1;4125.0
20206;11/01/07;191;0;13; 1;31515.0
20263;12/10/08;123;0;21; 1;20295.0
20456;23/03/10;56;0;2; 1;9240.0
20511;09/07/08;18;0;15; 1;2970.0
20517;17/02/05;36;0;24; 1;5940.0
20527;14/06/06;124;0;34; 1;20460.0
20667;10/08/08;182;0;30; 1;30030.0
20763;12/08/10;39;0;30; 1;6435.0
20838;01/02/09;108;0;17; 1;17820.0
20959;18/02/09;52;0;22; 1;8580.0
20983;13/11/06;182;0;33; 1;30030.0
21044;20/11/07;183;0;40; 1;30195.0
21147;01/06/07;93;0;7; 1;15345.0
21183;16/09/05;28;0;27; 1;4620.0
21189;28/09/06;147;0;1; 1;24255.0
21266;23/08/06;184;0;16; 1;30360.0
21293;25/08/10;73;0;18; 1;12045.0
21412;12/03/09;87;0;35; 1;14355.0
21443;14/08/05;156;0;30; 1;25740.0
21694;20/01/10;55;0;16; 1;9075.0
21739;08/06/05;165;0;21; 1;27225.0
21754;03/05/07;37;0;7; 1;6105.0
21812;17/10/09;61;0;7; 1;10065.0
21815;14/01/09;16;0;5; 1;2640.0
22148;19/12/08;18;0;34; 1;2970.0
22483;30/04/06;182;0;29; 1;30030.0
22538;29/06/05;113;0;3; 1;18645.0
22602;24/03/07;127;0;13; 1;20955.0
22797;31/10/05;172;0;25; 1;28380.0
22909;06/08/09;14;0;1; 1;2310.0
23007;12/12/09;100;0;32; 1;16500.0
23017;27/04/07;200;0;30; 1;33000.0
23089;31/10/09;166;0;2; 1;27390.0
23140;07/06/08;90;0;11; 1;14850.0
23193;06/06/05;147;0;13; 1;24255.0
23202;06/08/08;45;0;16; 1;7425.0
23720;25/08/08;142;0;32; 1;23430.0
23808;30/04/08;87;0;16; 1;14355.0
23935;04/06/05;145;0;20; 1;23925.0
24025;20/08/07;10;0;38; 1;1650.0
24258;21/02/09;156;0;17; 1;25740.0
24359;16/09/07;68;0;21; 1;11220.0
24402;06/05/06;193;0;6; 1;31845.0
24404;30/03/06;156;0;9; 1;25740.0
24462;17/12/07;128;0;20; 1;21120.0
24541;23/03/06;59;0;2; 1;9735.0
24681;09/12/06;94;0;34; 1;15510.0
24690;27/07/08;71;0;18; 1;11715.0
24760;21/10/09;168;0;4; 1;27720.0
24771;24/03/07;186;0;3; 1;30690.0
24823;22/01/05;121;0;27; 1;19965.0
24855;28/01/05;152;0;40; 1;25080.0
24874;22/09/05;22;0;10; 1;3630.0
24902;05/05/09;105;0;20; 1;17325.0
24907;14/08/05;29;0;6; 1;4785.0
25091;02/08/05;172;0;31; 1;28380.0
25293;17/08/08;64;0;12; 1;10560.0
25426;10/08/08;180;0;16; 1;29700.0
25507;05/08/07;131;0;37; 1;21615.0
25552;25/10/10;140;0;19; 1;23100.0
25640;22/05/08;182;0;31; 1;30030.0
25714;30/03/09;164;0;24; 1;27060.0
25729;22/01/08;183;0;39; 1;30195.0
25845;21/03/06;138;0;22; 1;22770.0
25972;29/11/06;37;0;30; 1;6105.0
26087;07/02/10;185;0;30; 1;30525.0
26130;20/08/09;21;0;23; 1;3465.0
26185;25/01/10;158;0;28; 1;26070.0
26200;26/07/06;126;0;3; 1;20790.0
26238;20/11/05;174;0;22; 1;28710.0
26282;04/02/07;156;0;12; 1;25740.0
26352;21/06/07;53;0;9; 1;8745.0
26381;06/08/06;81;0;33; 1;13365.0
26478;02/10/08;140;0;26; 1;23100.0
26518;19/10/10;96;0;39; 1;15840.0
26527;24/04/06;172;0;13; 1;28380.0
26529;16/07/08;61;0;28; 1;10065.0
26615;20/03/05;65;0;13; 1;10725.0
26617;22/04/09;199;0;28; 1;32835.0
26634;19/10/07;187;0;32; 1;30855.0
26682;27/06/08;170;0;37; 1;28050.0
26799;26/08/07;189;0;25; 1;31185.0
26834;10/04/09;39;0;40; 1;6435.0
26944;12/03/10;96;0;22; 1;15840.0
26970;11/05/06;95;0;34; 1;15675.0
27292;10/01/08;19;0;5; 1;3135.0
27365;08/03/06;36;0;25; 1;5940.0
27413;03/02/10;112;0;19; 1;18480.0
27569;30/01/08;139;0;19; 1;22935.0
27667;26/10/07;72;0;27; 1;11880.0
27726;19/11/06;49;0;24; 1;8085.0
27848;02/04/10;178;0;3; 1;29370.0
27889;10/05/07;27;0;40; 1;4455.0
27924;20/12/09;108;0;39; 1;17820.0
27983;14/05/07;181;0;22; 1;29865.0
28106;24/02/05;128;0;1; 1;21120.0
28269;20/11/08;26;0;21; 1;4290.0
28376;23/09/09;183;0;26; 1;30195.0
28502;19/12/07;16;0;27; 1;2640.0
28514;04/12/07;57;0;27; 1;9405.0
28656;25/05/08;80;0;39; 1;13200.0
28758;15/06/08;14;0;35; 1;2310.0
28767;06/09/09;21;0;17; 1;3465.0
28800;01/06/06;153;0;21; 1;25245.0
28873;06/09/07;69;0;21; 1;11385.0
28893;18/07/10;135;0;17; 1;22275.0
28913;10/08/06;159;0;26; 1;26235.0
28973;07/06/05;18;0;5; 1;2970.0
29065;11/08/05;119;0;29; 1;19635.0
29211;12/10/07;42;0;26; 1;6930.0
29362;09/04/09;29;0;15; 1;4785.0
29366;29/03/06;86;0;22; 1;14190.0
29477;04/12/09;54;0;15; 1;8910.0
29701;25/07/05;113;0;7; 1;18645.0
29852;15/07/10;78;0;35; 1;12870.0
29858;16/07/09;192;0;21; 1;31680.0
29930;22/12/08;14;0;18; 1;2310.0
29933;16/08/07;99;0;25; 1;16335.0
30019;26/04/07;112;0;3; 1;18480.0
30067;30/07/07;107;0;13; 1;17655.0
30081;16/09/09;15;0;26; 1;2475.0
30205;10/02/10;124;0;24; 1;20460.0
30238;04/06/06;83;0;9; 1;13695.0
30251;29/06/08;61;0;33; 1;10065.0
30319;13/10/08;47;0;8; 1;7755.0
30372;28/10/05;196;0;3; 1;32340.0
30487;23/01/07;173;0;6; 1;28545.0
30522;29/06/06;104;0;12; 1;17160.0
30562;27/06/09;21;0;28; 1;3465.0
30704;16/03/10;174;0;3; 1;28710.0
30761;09/11/06;47;0;22; 1;7755.0
30809;27/05/10;173;0;36; 1;28545.0
30817;12/01/07;87;0;23; 1;14355.0
30961;16/11/06;90;0;2; 1;14850.0
30998;09/12/08;107;0;21; 1;17655.0
31068;27/04/09;17;0;19; 1;2805.0
31212;17/08/06;114;0;23; 1;18810.0
31272;27/08/07;98;0;31; 1;16170.0
31358;22/11/09;68;0;9; 1;11220.0
31360;08/09/09;91;0;40; 1;15015.0
31548;23/01/10;117;0;10; 1;19305.0
31675;26/03/10;143;0;40; 1;23595.0
31678;10/02/08;80;0;31; 1;13200.0
31685;14/03/08;132;0;31; 1;21780.0
31975;26/01/08;82;0;2; 1;13530.0
32045;16/07/07;142;0;3; 1;23430.0
32100;05/05/10;82;0;28; 1;13530.0
32248;03/08/08;78;0;37; 1;12870.0
32250;13/10/10;172;1;4; 1;24596.0
32304;22/06/10;168;0;31; 1;27720.0
32320;24/04/06;99;0;25; 1;16335.0
32344;02/05/06;138;0;4; 1;22770.0
32355;08/10/09;107;0;25; 1;17655.0
32463;03/04/09;21;0;11; 1;3465.0
32517;30/12/09;53;0;14; 1;8745.0
32521;23/08/08;173;0;4; 1;28545.0
32619;03/01/09;194;0;10; 1;32010.0
32678;05/06/07;94;0;15; 1;15510.0
32744;12/03/09;75;0;13; 1;12375.0
33033;23/11/09;52;0;8; 1;8580.0
33124;13/02/05;144;0;20; 1;23760.0
33144;30/07/07;83;0;31; 1;13695.0
33212;16/02/06;22;0;3; 1;3630.0
33273;26/08/05;58;0;1; 1;9570.0
33296;23/07/07;133;0;26; 1;21945.0
33316;30/03/09;60;0;15; 1;9900.0
33430;07/08/09;77;0;34; 1;12705.0
33493;19/10/08;174;0;6; 1;28710.0
33709;17/10/05;72;0;21; 1;11880.0
33828;03/03/10;131;0;24; 1;21615.0
33885;26/09/05;37;0;33; 1;6105.0
34011;09/05/05;179;0;28; 1;29535.0
34101;18/10/09;36;0;40; 1;5940.0
34329;21/10/08;176;0;25; 1;29040.0
34382;11/10/09;52;0;31; 1;8580.0
34525;03/04/05;195;0;16; 1;32175.0
34557;12/08/06;98;0;27; 1;16170.0
34565;28/11/06;101;0;22; 1;16665.0
34677;31/12/08;56;0;13; 1;9240.0
34682;12/04/08;17;0;40; 1;2805.0
34739;09/11/05;172;0;17; 1;28380.0
34759;21/11/08;40;0;15; 1;6600.0
34762;24/10/06;115;0;18; 1;18975.0
34861;15/07/09;198;0;31; 1;32670.0
34974;25/01/06;41;0;12; 1;6765.0
35048;02/11/08;53;0;21; 1;8745.0
35207;09/02/07;85;0;8; 1;14025.0
35212;05/05/08;81;0;16; 1;13365.0
35297;23/12/07;26;0;12; 1;4290.0
35454;20/06/06;127;0;28; 1;20955.0
35727;30/08/09;76;0;20; 1;12540.0
35915;17/04/10;135;0;5; 1;22275.0
35983;18/09/09;44;0;10; 1;7260.0
36016;16/03/08;53;0;22; 1;8745.0
36053;10/03/09;28;0;38; 1;4620.0
36066;15/08/05;90;0;17; 1;14850.0
36098;12/05/05;115;0;12; 1;18975.0
36131;11/09/10;103;0;35; 1;16995.0
36189;24/07/09;48;0;7; 1;7920.0
36191;20/07/08;12;0;22; 1;1980.0
36228;22/06/05;131;0;16; 1;21615.0
36241;26/06/06;76;0;23; 1;12540.0
36292;03/02/10;127;0;21; 1;20955.0
36324;06/09/09;184;0;13; 1;30360.0
36460;03/07/09;16;0;11; 1;2640.0
36464;17/01/06;189;0;17; 1;31185.0
36472;26/06/07;64;0;25; 1;10560.0
36544;01/12/05;64;0;29; 1;10560.0
36582;26/03/05;138;0;33; 1;22770.0
36588;26/03/09;78;0;33; 1;12870.0
36761;08/06/05;123;0;8; 1;20295.0
36828;19/12/09;77;0;14; 1;12705.0
36851;13/01/10;124;0;34; 1;20460.0
37100;16/03/10;11;0;27; 1;1815.0
37110;13/08/08;183;0;5; 1;30195.0
37171;17/05/05;188;0;36; 1;31020.0
37265;18/03/09;104;0;10; 1;17160.0
37275;19/10/05;156;0;40; 1;25740.0
37368;19/05/05;61;0;8; 1;10065.0
37372;10/10/07;137;0;39; 1;22605.0
37379;18/03/10;148;0;2; 1;24420.0
37406;20/05/05;133;0;11; 1;21945.0
37607;08/10/06;145;0;9; 1;23925.0
37674;14/01/08;108;0;18; 1;17820.0
37710;31/12/06;130;0;31; 1;21450.0
37774;20/04/10;175;0;40; 1;28875.0
37795;03/08/06;77;0;4; 1;12705.0
37858;31/03/07;88;0;26; 1;14520.0
37884;15/11/08;170;0;12; 1;28050.0
37912;19/10/06;182;0;19; 1;30030.0
38039;14/12/06;194;0;5; 1;32010.0
38050;14/09/07;189;0;7; 1;31185.0
38056;28/09/07;158;0;4; 1;26070.0
38099;16/04/06;138;0;3; 1;22770.0
38113;27/05/09;43;0;35; 1;7095.0
38126;02/07/09;94;0;39; 1;15510.0
38166;31/08/07;39;0;13; 1;6435.0
38228;01/12/06;147;0;34; 1;24255.0
38262;07/09/06;111;0;3; 1;18315.0
38284;05/04/07;187;0;19; 1;30855.0
38394;28/01/09;155;0;36; 1;25575.0
38464;19/07/08;160;0;4; 1;26400.0
38563;01/06/10;16;0;24; 1;2640.0
38969;21/09/08;199;0;19; 1;32835.0
38982;07/05/08;160;0;28; 1;26400.0
39112;23/11/07;147;0;12; 1;24255.0
39219;10/03/08;80;0;19; 1;13200.0
39244;21/11/06;93;0;13; 1;15345.0
39247;07/05/06;142;0;24; 1;23430.0
39311;08/09/06;175;0;21; 1;28875.0
39327;29/03/08;31;0;21; 1;5115.0
39538;01/09/08;36;0;36; 1;5940.0
39549;15/06/08;183;0;11; 1;30195.0
39567;27/10/10;37;0;13; 1;6105.0
39598;04/12/07;42;0;40; 1;6930.0
39639;31/07/06;66;0;32; 1;10890.0
39739;23/02/10;22;0;3; 1;3630.0
39798;27/09/09;158;0;6; 1;26070.0
39804;28/02/06;137;0;32; 1;22605.0
39857;13/06/09;191;0;8; 1;31515.0
39870;08/02/05;101;0;6; 1;16665.0
39906;22/07/08;180;0;10; 1;29700.0
39942;15/11/08;27;0;34; 1;4455.0
39979;23/12/09;12;0;21; 1;1980.0
40089;18/08/05;180;0;24; 1;29700.0
40400;07/04/07;140;0;1; 1;23100.0
40407;19/06/06;127;0;22; 1;20955.0
40452;29/08/06;66;0;23; 1;10890.0
40486;13/04/06;145;0;3; 1;23925.0
40513;28/01/07;66;0;7; 1;10890.0
40514;22/12/05;145;0;19; 1;23925.0
40553;07/04/05;150;0;16; 1;24750.0
40779;23/02/09;50;0;35; 1;8250.0
40816;27/01/06;81;0;17; 1;13365.0
40849;05/01/08;32;0;34; 1;5280.0
40921;29/09/10;68;0;4; 1;11220.0
40929;01/07/09;136;0;5; 1;22440.0
40990;24/09/06;53;0;7; 1;8745.0
40991;25/07/08;75;0;35; 1;12375.0
41015;16/06/07;163;0;28; 1;26895.0
41092;27/05/10;148;0;7; 1;24420.0
41134;16/10/06;25;0;12; 1;4125.0
41163;18/05/09;38;0;26; 1;6270.0
41196;07/06/05;195;0;35; 1;32175.0
41205;18/09/08;151;0;20; 1;24915.0
41259;28/03/05;90;0;23; 1;14850.0
41307;26/06/09;49;0;39; 1;8085.0
41354;22/11/09;48;0;5; 1;7920.0
41527;17/08/07;27;0;11; 1;4455.0
41754;12/09/09;108;0;37; 1;17820.0
41929;06/06/05;159;0;1; 1;26235.0
41951;07/04/08;45;0;9; 1;7425.0
42002;20/11/09;15;0;27; 1;2475.0
42144;10/06/07;93;0;3; 1;15345.0
42148;12/03/06;21;0;8; 1;3465.0
42245;03/02/10;82;0;9; 1;13530.0
42259;11/08/10;42;0;34; 1;6930.0
42305;05/06/10;188;0;15; 1;31020.0
42358;09/10/05;185;0;12; 1;30525.0
42424;10/01/07;180;0;20; 1;29700.0
42445;19/08/08;133;0;35; 1;21945.0
42460;16/10/07;146;0;27; 1;24090.0
42476;12/02/07;138;0;17; 1;22770.0
42581;09/03/05;38;0;19; 1;6270.0
42605;31/01/10;152;0;31; 1;25080.0
42618;14/02/06;114;0;19; 1;18810.0
42727;28/12/07;36;0;31; 1;5940.0
42746;17/02/07;175;0;16; 1;28875.0
42766;13/02/05;193;0;18; 1;31845.0
42789;30/11/06;67;0;36; 1;11055.0
42798;27/07/08;178;0;14; 1;29370.0
42804;19/04/08;13;0;26; 1;2145.0
42894;12/08/09;53;0;20; 1;8745.0
42962;06/09/05;186;0;13; 1;30690.0
43025;02/05/06;179;0;39; 1;29535.0
43112;29/02/08;91;0;21; 1;15015.0
43220;09/03/08;98;0;2; 1;16170.0
43238;26/08/07;191;0;22; 1;31515.0
43247;11/11/05;53;0;31; 1;8745.0
43296;13/05/10;13;0;36; 1;2145.0
43498;27/02/10;45;0;18; 1;7425.0
43521;06/01/06;121;0;13; 1;19965.0
43564;19/08/09;142;0;7; 1;23430.0
43574;17/01/06;63;0;27; 1;10395.0
43647;08/01/10;95;0;25; 1;15675.0
43661;23/10/07;107;0;19; 1;17655.0
43851;13/12/09;191;0;2; 1;31515.0
43906;16/07/08;24;0;1; 1;3960.0
44056;17/10/07;200;0;6; 1;33000.0
44340;04/02/09;127;0;15; 1;20955.0
44531;09/11/07;47;0;5; 1;7755.0
44623;22/12/08;188;0;12; 1;31020.0
